City,State,Zip,Bank,BankState,NAICS,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,MIS_Status
BAINBRIDGE ISLAND,WA,98110,COLUMBIA STATE BANK,WA,0,10,2,0,0,1,0,N,Y,"$50,000.00 ",$0.00 ,"$50,000.00 ","$45,000.00 ",P I F
DORAL,FL,33172,COMMUNITY W. BANK NATL ASSOC,CA,722211,1,1,20,1,55120,1,0,N,"$252,994.00 ",$0.00 ,"$253,000.00 ","$189,750.00 ",P I F
LANSDALE,PA,19446,CITIZENS BANK NATL ASSOC,RI,423690,7,1,0,7,0,1,Y,N,"$164,388.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",CHGOFF
WAPOKONET,OH,45895,FIRST NATL BK IN NEW BREMEN,OH,0,10,1,0,0,1,2,0,Y,"$10,000.00 ",$0.00 ,"$25,000.00 ","$20,000.00 ",P I F
Gonzales,LA,70736,"BUSINESS LOAN CENTER, LLC",FL,442299,4,1,1,4,0,1,N,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$21,250.00 ",CHGOFF
KANSAS CITY,MO,64131,"READYCAP LENDING, LLC",CA,811111,11,1,0,11,1,1,0,N,"$330,000.00 ",$0.00 ,"$330,000.00 ","$247,500.00 ",CHGOFF
SHARPES,FL,32952,BANK OF AMERICA NATL ASSOC,NC,445292,1,2,2,3,1,1,0,N,"$42,800.00 ",$0.00 ,"$42,800.00 ","$21,400.00 ",P I F
SHEBOYGAN FALLS,WI,53085,COMMUNITY BANK & TRUST,WI,445310,4,1,0,4,0,2,N,N,"$200,000.00 ",$0.00 ,"$200,000.00 ","$180,000.00 ",P I F
LOGAN,UT,84321,ZIONS FIRST NATIONAL BANK,UT,238330,4,1,2,4,0,1,Y,N,"$87,314.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
PHILADELPHIA,PA,19101,NATIONAL PENN BANK,PA,0,5,2,0,0,1,1,0,Y,"$80,000.00 ",$0.00 ,"$80,000.00 ","$64,000.00 ",P I F
SAN ANTONIO,TX,78250,SECURITY SERVICE FCU,TX,812199,1,2,18,0,51720,1,0,N,"$52,900.00 ",$0.00 ,"$52,900.00 ","$26,450.00 ",P I F
SANTEE,CA,92071,CDC SMALL BUS. FINAN CORP,CA,325520,24,1,6,24,1,0,N,N,"$191,000.00 ",$0.00 ,"$191,000.00 ","$191,000.00 ",P I F
BROCKTON,MA,2301,ROCKLAND TRUST COMPANY,MA,0,55,1,0,55,1,1,0,N,"$55,000.00 ",$0.00 ,"$55,000.00 ","$27,500.00 ",P I F
WEST HARTFORD,CT,6110,UPS CAPITAL BUSINESS CREDIT,CT,333513,20,1,0,0,1,1,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$42,500.00 ",CHGOFF
TACOMA,WA,98444,BANK OF AMERICA NATL ASSOC,NC,235610,5,2,0,0,1,0,N,Y,"$67,000.00 ",$0.00 ,"$67,000.00 ","$53,600.00 ",P I F
BERKELEY,CA,94710,FIRST BANK,MO,451211,2,1,0,0,1,0,0,Y,"$80,000.00 ",$0.00 ,"$80,000.00 ","$64,000.00 ",P I F
ATLANTA,GA,30303,UNITED COMMERCIAL BANK,GA,0,20,1,0,0,1,0,N,N,"$350,000.00 ",$0.00 ,"$350,000.00 ","$262,500.00 ",P I F
KNIGHTDALE,NC,27545,SELF-HELP VENTURES FUND,NC,444130,12,1,7,0,1560,0,N,N,"$237,000.00 ",$0.00 ,"$237,000.00 ","$237,000.00 ",P I F
KETCHIKAN,AK,99901,NORTHRIM BANK,AK,237310,14,1,2,2,0,2,Y,N,"$219,700.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",CHGOFF
HOUSTON,TX,77055,BANK OF NO. GEORGIA A DIVISION,GA,235110,68,1,0,0,1,0,N,N,"$255,000.00 ",$0.00 ,"$255,000.00 ","$191,250.00 ",P I F
HIGH POINT,NC,27262,"PNC BANK, NATIONAL ASSOCIATION",DE,621210,4,1,0,0,1,0,N,N,"$75,000.00 ",$0.00 ,"$75,000.00 ","$67,500.00 ",P I F
MURRIETA,CA,92562,WELLS FARGO BANK NATL ASSOC,CA,561790,2,1,1,2,1,1,Y,N,"$15,064.00 ",$0.00 ,"$15,000.00 ","$7,500.00 ",P I F
LEXINGTON,KY,40515,MAINSOURCE BANK,KY,0,4,2,0,0,1,1,0,Y,"$50,000.00 ",$0.00 ,"$50,000.00 ","$40,000.00 ",CHGOFF
CORAL SPRINGS,FL,33065,FLORIDA 1ST CAP. FINAN CORPORA,FL,332999,6,1,6,0,1,1,0,N,"$288,000.00 ",$0.00 ,"$288,000.00 ","$288,000.00 ",P I F
SANTA FE SPRINGS,CA,90670,COMERICA BANK,CA,0,30,1,0,0,1,0,N,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$85,000.00 ",P I F
SANTA BARBARA,CA,93105,COMMUNITY W. BANK NATL ASSOC,CA,0,3,1,0,0,1,0,N,N,"$94,000.00 ",$0.00 ,"$94,000.00 ","$84,600.00 ",P I F
Waycross,GA,31501,BRANCH BK. & TR CO,NC,484110,1,1,0,1,0,2,N,N,"$33,000.00 ",$0.00 ,"$33,000.00 ","$16,500.00 ",P I F
Fremont,CA,94538,HANMI BANK,CA,722110,4,1,0,4,0,1,N,N,"$223,000.00 ",$0.00 ,"$223,000.00 ","$167,250.00 ",CHGOFF
MIAMI,FL,33155,BAC FLORIDA BANK,FL,811111,6,1,0,0,1,0,N,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$90,000.00 ",P I F
PAWNEE,OK,74058,RCB BANK,OK,0,20,1,0,0,1,0,N,N,"$175,000.00 ",$0.00 ,"$275,000.00 ","$220,000.00 ",CHGOFF
MARSHALLTOWN,IA,50158,PINNACLE BANK,IA,621310,2,2,0,0,1,0,N,Y,"$48,500.00 ",$0.00 ,"$48,500.00 ","$38,800.00 ",P I F
LAS VEGAS,NV,89106,BANK OF LAS VEGAS,NV,722110,0,2,20,0,0,1,N,,"$100,000.00 ",$0.00 ,"$100,000.00 ","$85,000.00 ",CHGOFF
ROANOKE,VA,24019,"BUSINESS FINANCE GROUP, INC.",VA,0,9,2,9,0,1,0,N,N,"$305,000.00 ",$0.00 ,"$305,000.00 ","$305,000.00 ",P I F
INDIANAPOLIS,IN,46239,FIFTH THIRD BANK,OH,541990,6,1,0,6,1,1,Y,N,"$53,497.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
MIAMI,FL,33179,BANK OF AMERICA NATL ASSOC,NC,442110,2,2,0,0,1,1,Y,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",P I F
COMPTON,CA,90221,COMERICA BANK,TX,812320,3,1,0,0,1,0,N,N,"$150,000.00 ",$0.00 ,"$150,000.00 ","$135,000.00 ",P I F
WEST WARWICK,RI,2893,CITIZENS BANK NATL ASSOC,RI,422820,5,1,0,0,1,0,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$45,000.00 ",CHGOFF
CORNING,NY,14830,VALLEY NATIONAL BANK,NJ,722211,2,2,5,2,50860,1,0,N,"$160,000.00 ",$0.00 ,"$160,000.00 ","$120,000.00 ",P I F
MILFORD,NJ,8848,"TD BANK, NATIONAL ASSOCIATION",NJ,484110,6,1,0,6,1,1,Y,N,"$250,000.00 ",$0.00 ,"$250,000.00 ","$125,000.00 ",P I F
MADISON (CENSUS NAME FOR MADIS,CT,6443,CITIZENS BANK NATL ASSOC,RI,442299,5,1,0,5,1,1,Y,N,"$198,127.00 ",$0.00 ,"$75,000.00 ","$37,500.00 ",CHGOFF
LOS ANGELES,CA,90016,PACIFIC WESTERN BANK,CA,235110,45,1,0,0,0,0,N,N,"$650,000.00 ",$0.00 ,"$650,000.00 ","$552,500.00 ",P I F
SPARKS,NV,89431,UMPQUA BANK,NV,441310,7,1,0,0,1,1,0,Y,"$145,800.00 ",$0.00 ,"$145,800.00 ","$123,930.00 ",P I F
DENVER,CO,80226,JPMORGAN CHASE BANK NATL ASSOC,IL,722110,10,1,1,10,0,1,Y,N,"$70,000.00 ",$0.00 ,"$70,000.00 ","$35,000.00 ",P I F
CAROL STREAM,IL,60188,CITIZENS BANK NATL ASSOC,RI,811111,7,1,0,7,1,1,0,N,"$21,000.00 ",$0.00 ,"$21,000.00 ","$10,500.00 ",P I F
CHARLESTON,SC,29417,FIRST CIT. BK & TR COMPANY INC,SC,235110,5,1,0,0,1,0,N,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$90,000.00 ",P I F
CASTLE ROCK,CO,80104,ANB BANK,CO,722110,30,2,0,0,1,2,0,Y,"$150,000.00 ",$0.00 ,"$150,000.00 ","$127,500.00 ",P I F
MEDFORD,MA,2155,"READYCAP LENDING, LLC",CA,453991,2,1,0,2,1,1,0,N,"$270,000.00 ",$0.00 ,"$270,000.00 ","$202,500.00 ",P I F
San luis obispo,CA,93401,COAST NATIONAL BANK,CA,448190,10,1,5,10,0,2,Y,N,"$203,803.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",CHGOFF
HURST,TX,76053,COMPASS BANK,TX,722110,15,1,0,15,1,0,0,N,"$200,000.00 ",$0.00 ,"$200,000.00 ","$150,000.00 ",P I F
CARROLLTON,TX,75006,FROST BANK,TX,235610,31,1,0,31,1,0,0,N,"$300,000.00 ",$0.00 ,"$300,000.00 ","$225,000.00 ",P I F
HOGANSVILLE,GA,30230,SUNTRUST BANK,GA,235410,3,2,0,0,1,2,0,Y,"$55,000.00 ",$0.00 ,"$55,000.00 ","$44,000.00 ",P I F
MEMPHIS,TN,38134,FIRST TENNESSEE BANK NATL ASSO,TN,624410,14,1,0,0,1,0,N,N,"$385,000.00 ",$0.00 ,"$385,000.00 ","$288,750.00 ",P I F
DETROIT,MI,48226,BBCN BANK,CA,488999,1,2,4,1,1,1,0,N,"$5,000.00 ",$0.00 ,"$5,000.00 ","$4,250.00 ",CHGOFF
NEW YORK,NY,10001,BNB HANA BANK NATL ASSOC,NJ,423940,4,1,0,4,1,1,Y,N,"$20,000.00 ",$0.00 ,"$20,000.00 ","$10,000.00 ",P I F
HAWTHORNE,NV,89415,NEVADA ST. DEVEL CORP,NV,0,12,1,17,0,1,0,N,N,"$576,000.00 ",$0.00 ,"$576,000.00 ","$576,000.00 ",P I F
AUBURN,WA,98001,WELLS FARGO BANK NATL ASSOC,SD,236118,1,2,2,3,0,1,Y,N,"$40,099.00 ",$0.00 ,"$20,000.00 ","$10,000.00 ",P I F
AUGUSTA,CA,30906,BUSINESS DEVEL CORP OF SO. CAR,SC,624410,7,1,0,0,1,0,0,N,"$325,000.00 ",$0.00 ,"$325,000.00 ","$243,750.00 ",CHGOFF
EMPORIUM,PA,15834,CITIZENS & NORTHERN BANK,PA,722110,22,1,0,22,1,2,0,N,"$30,000.00 ",$0.00 ,"$30,000.00 ","$15,000.00 ",P I F
JOLIET,IL,60435,GE CAP. SMALL BUS. FINAN CORP,TX,0,31,1,0,0,1,0,N,N,"$160,000.00 ",$0.00 ,"$160,000.00 ","$129,600.00 ",P I F
SOUTH JORDAN,UT,84095,MOUNTAIN AMERICA FCU,UT,812199,3,2,0,3,1,1,Y,N,"$116,848.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
ALTOONA,PA,16603,FIRST COMMONWEALTH BANK,PA,722110,20,2,0,0,1,1,0,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$80,000.00 ",P I F
Savage,MN,55378,BMO HARRIS BK NATL ASSOC,IL,541810,1,2,0,1,0,1,Y,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$42,500.00 ",P I F
DAVIE,FL,33323,BANK OF AMERICA NATL ASSOC,NC,811121,7,1,0,0,1,1,0,N,"$200,000.00 ",$0.00 ,"$200,000.00 ","$150,000.00 ",P I F
SPOKANE,WA,99207,U.S. BANK NATIONAL ASSOCIATION,OH,722110,14,1,0,14,0,1,Y,N,"$37,416.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
AURORA,CO,80011,CITYWIDE BANKS,CO,541330,5,1,0,0,1,0,N,Y,"$84,900.00 ",$0.00 ,"$84,900.00 ","$67,920.00 ",CHGOFF
AUSTIN,TX,78757,WELLS FARGO BANK NATL ASSOC,SD,541940,5,1,0,0,1,0,0,N,"$525,000.00 ",$0.00 ,"$525,000.00 ","$393,750.00 ",P I F
EAST HARTFORD,CT,6108,BANK OF AMERICA NATL ASSOC,CT,235310,7,1,0,0,1,0,N,Y,"$12,000.00 ",$0.00 ,"$12,000.00 ","$10,800.00 ",P I F
TYNGSBORO (TOWN NAME TYNGSBORO,MA,1879,CITIZENS BANK NATL ASSOC,RI,541110,2,1,0,2,1,1,0,N,"$30,000.00 ",$0.00 ,"$30,000.00 ","$15,000.00 ",P I F
WHITE POST,VA,22663,SONABANK,VA,711219,2,1,3,2,1,2,Y,N,"$115,000.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",P I F
WARREN,MI,48091,BANK OF AMERICA NATL ASSOC,NC,541690,4,1,0,4,0,2,Y,N,"$45,000.00 ",$0.00 ,"$40,000.00 ","$20,000.00 ",P I F
GREEN VALLEY,AZ,85614,"BUSINESS LENDERS, LLC",CT,327991,30,1,0,30,1,1,0,N,"$200,000.00 ",$0.00 ,"$200,000.00 ","$150,000.00 ",CHGOFF
LAS CRUCES,NM,88004,CITIZENS BANK OF LAS CRUCES,NM,561440,7,1,0,0,1,0,N,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$31,500.00 ",P I F
Columbus,WI,53925,ASSOCIATED BANK NATL ASSOC,WI,238140,3,1,0,3,0,2,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
CHARLOTTESVILLE,VA,22902,MANUFACTURERS & TRADERS TR CO,MD,0,30,2,0,0,1,0,N,N,"$232,000.00 ",$0.00 ,"$232,000.00 ","$174,000.00 ",P I F
EVERETT,WA,98201,EVERGREEN BUSINESS CAPITAL,WA,811111,14,1,4,10,1,0,N,N,"$302,000.00 ",$0.00 ,"$302,000.00 ","$302,000.00 ",P I F
MANSFIELD,TX,76063,BANK OF AMERICA NATL ASSOC,NC,722211,2,1,45,2,1,1,0,N,"$48,000.00 ",$0.00 ,"$48,000.00 ","$24,000.00 ",P I F
SHELBYVILLE,MO,63469,U.S. BANK NATIONAL ASSOCIATION,OH,445299,10,2,0,10,0,1,Y,N,"$47,780.00 ",$0.00 ,"$20,000.00 ","$10,000.00 ",P I F
ATLANTA,GA,30342,JPMORGAN CHASE BANK NATL ASSOC,IL,561740,20,1,0,20,1,2,Y,N,"$42,638.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",CHGOFF
BROOKLYN,NY,11215,"SUPERIOR FINANCIAL GROUP, LLC",CA,722110,20,2,3,20,0,1,N,N,"$7,500.00 ",$0.00 ,"$7,500.00 ","$6,750.00 ",CHGOFF
DENTON,TX,76205,FIRST COMM. BANK NATL ASSOC,TX,0,1,2,0,0,0,0,N,N,"$538,000.00 ",$0.00 ,"$538,000.00 ","$457,300.00 ",P I F
HOUSTON,TX,77023,BANCO POPULAR NORTH AMERICA,TX,621320,4,1,4,4,1,1,0,N,"$136,000.00 ",$0.00 ,"$136,000.00 ","$102,000.00 ",P I F
LAS CRUCES,NM,88006,BANK OF THE SOUTHWEST,NM,722410,12,2,0,0,1,1,0,Y,"$150,000.00 ",$0.00 ,"$150,000.00 ","$112,500.00 ",P I F
Santa Ana,CA,92705,SEACOAST COMMERCE BANK,CA,561720,45,1,0,45,0,1,N,N,"$356,200.00 ",$0.00 ,"$356,200.00 ","$320,580.00 ",P I F
FORT BRAGG,CA,95437,CITICAPITAL SMALL BUS. FINANCE,TX,0,15,1,0,0,1,0,N,N,"$1,575,000.00 ",$0.00 ,"$1,575,000.00 ","$749,999.00 ",P I F
ROCKFORD,IL,61103,JPMORGAN CHASE BANK NATL ASSOC,IL,452990,2,1,0,0,0,1,Y,N,"$43,831.00 ",$0.00 ,"$30,000.00 ","$15,000.00 ",P I F
CHEYENNE,WY,82007,ANB BANK,CO,484110,5,1,0,5,1,1,0,N,"$41,500.00 ",$0.00 ,"$41,500.00 ","$20,750.00 ",P I F
BOULDER,CO,80301,"COLORADO LENDING SOURCE, LTD.",CO,424130,12,1,13,12,1,1,0,N,"$789,000.00 ",$0.00 ,"$789,000.00 ","$789,000.00 ",P I F
BOWLING GREEN,KY,42104,"SUPERIOR FINANCIAL GROUP, LLC",CA,721211,5,1,0,5,0,1,N,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$8,500.00 ",CHGOFF
ELMIRA HEIGHTS,NY,14903,HSBC BK USA NATL ASSOC,NY,621210,1,2,0,0,1,0,N,Y,"$97,500.00 ",$0.00 ,"$97,500.00 ","$78,000.00 ",P I F
MIAMI,FL,33166,BANK OF AMERICA NATL ASSOC,NC,811310,3,1,0,3,1,1,Y,N,"$45,000.00 ",$0.00 ,"$45,000.00 ","$22,500.00 ",P I F
COLUMBUS,OH,43215,CITIZENS BANK NATL ASSOC,RI,722320,6,1,0,6,0,1,Y,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$17,500.00 ",CHGOFF
LINCOLN,NE,68522,UNION BANK AND TRUST COMPANY,NE,621210,1,2,1,0,1,1,0,N,"$225,000.00 ",$0.00 ,"$225,000.00 ","$168,750.00 ",P I F
ROHNERT PARK,CA,94928,MUFG UNION BANK NATL ASSOC,CA,541860,30,1,0,0,1,0,N,N,"$125,000.00 ",$0.00 ,"$125,000.00 ","$93,750.00 ",P I F
ROGERS,AR,72758,SOUTHWEST MISSOURI BANK,MO,812990,1,2,0,1,0,1,N,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",CHGOFF
OXFORD,PA,19363,NATIONAL PENN BANK,PA,722110,9,2,0,0,1,2,0,Y,"$70,000.00 ",$0.00 ,"$70,000.00 ","$59,500.00 ",P I F
ELGIN,IL,60120,AMERICAN MIDWEST BANK,IL,0,2,2,0,0,1,0,N,Y,"$20,000.00 ",$0.00 ,"$20,000.00 ","$18,000.00 ",P I F
BAY RIDGE,NY,11228,AMERASIA BANK,NY,812310,2,2,2,2,1,1,0,N,"$80,000.00 ",$0.00 ,"$80,000.00 ","$40,000.00 ",P I F
HOUSTON,TX,77092,"READYCAP LENDING, LLC",CA,446110,3,2,0,0,33570,0,0,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$75,000.00 ",P I F
London,KY,40741,"PNC BANK, NATIONAL ASSOCIATION",DE,453110,2,1,0,2,0,2,N,N,"$165,000.00 ",$0.00 ,"$165,000.00 ","$82,500.00 ",P I F
SILVANA,WA,98287,FIRST HERITAGE BANK,WA,0,14,1,0,0,1,0,0,N,"$177,000.00 ",$0.00 ,"$177,000.00 ","$123,900.00 ",P I F
CAMPBELL,NY,14821,FIVE STAR BANK,NY,722110,1,2,0,1,0,2,Y,N,"$14,826.00 ",$0.00 ,"$5,000.00 ","$2,500.00 ",CHGOFF
BATAVIA,NY,14021,FIRST NIAGARA BANK NATL ASSOC,NY,0,6,1,0,0,1,0,N,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$75,000.00 ",P I F
LOS ANGELES,CA,90015,BANK OF AMERICA CALIFORNIA N.A,CA,0,2,1,0,2,1,0,0,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
ANAHEIM,CA,92805,"CITIBANK, N.A.",SD,0,33,1,0,33,1,1,0,N,"$400,000.00 ",$0.00 ,"$400,000.00 ","$300,000.00 ",P I F
PHOENIX,AZ,85041,U.S. BANK NATIONAL ASSOCIATION,OH,484220,8,1,0,8,1,1,0,N,"$29,700.00 ",$0.00 ,"$117,000.00 ","$87,750.00 ",P I F
PASADENA,CA,91001,ONEUNITED BANK,MA,812320,2,2,0,0,1,1,N,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$28,000.00 ",P I F
ARVADA,CO,80002,WELLS FARGO BANK NATL ASSOC,CO,327991,9,1,0,0,1,0,N,N,"$200,000.00 ",$0.00 ,"$200,000.00 ","$170,000.00 ",P I F
PARKER,CO,80134,WELLS FARGO BANK NATL ASSOC,SD,235950,8,1,0,0,1,0,N,N,"$120,000.00 ",$0.00 ,"$120,000.00 ","$102,000.00 ",P I F
SPRINGTOWN,PA,18081,BANK OF AMERICA NATL ASSOC,NC,442299,1,2,0,1,0,2,Y,N,"$21,598.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",P I F
Columbus,OH,43232,THE HUNTINGTON NATIONAL BANK,OH,621610,0,1,0,0,0,1,Y,N,"$45,995.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
SELKIRK,NY,12158,FIRST NIAGARA BANK NATL ASSOC,NY,339932,7,1,0,7,0,2,N,N,"$65,000.00 ",$0.00 ,"$65,000.00 ","$32,500.00 ",P I F
PROSSER,WA,99350,AMERICANWEST BANK,WA,444130,8,1,0,0,17750,0,N,N,"$160,000.00 ",$0.00 ,"$160,000.00 ","$136,000.00 ",P I F
Fort Worth,TX,76108,CAPITAL ONE NATL ASSOC,VA,812320,18,1,0,0,1,1,N,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",P I F
BEND,OR,97702,BANK OF THE CASCADES,OR,238110,4,2,0,4,1,1,Y,N,"$410,102.00 ",$0.00 ,"$150,000.00 ","$75,000.00 ",CHGOFF
FRUITA,CO,81521,CAPITAL ONE NATL ASSOC,VA,236115,6,1,0,6,1,1,N,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
WHEELING,WV,26003,PROGRESSIVE BANK NATL ASSOC,WV,621310,5,2,0,0,1,2,N,N,"$300,000.00 ",$0.00 ,"$300,000.00 ","$255,000.00 ",P I F
ABBEVILLE,LA,70510,GULF COAST BANK,LA,0,1,1,0,0,0,0,N,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$21,850.00 ",P I F
LITTLETON,CO,80120,JPMORGAN CHASE BANK NATL ASSOC,IL,325620,1,1,0,1,1,1,0,N,"$10,400.00 ",$0.00 ,"$10,400.00 ","$5,200.00 ",P I F
FORT LAUDERDALE,FL,33309,WELLS FARGO BANK NATL ASSOC,CA,423510,4,1,2,4,1,1,0,N,"$30,000.00 ",$0.00 ,"$30,000.00 ","$15,000.00 ",P I F
BECKLEY,WV,25801,UNITED BANK,WV,0,6,2,0,0,1,0,N,Y,"$15,000.00 ",$0.00 ,"$15,000.00 ","$12,000.00 ",P I F
TRENTON,TN,37382,SECURITY BANK,TN,0,7,1,0,0,1,0,N,N,"$92,000.00 ",$0.00 ,"$92,000.00 ","$77,804.00 ",CHGOFF
COVENTRY (WASHINGTON),RI,2816,BANK OF AMERICA NATL ASSOC,RI,561720,4,1,1,4,73525,1,Y,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
HAYWARD,CA,94545,BBCN BANK,CA,541430,1,1,0,1,0,1,N,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$22,500.00 ",CHGOFF
ORANGE VILLAGE,OH,44022,MIDDLEFIELD BK. CO,OH,0,1,2,0,0,1,0,N,Y,"$9,000.00 ",$0.00 ,"$9,000.00 ","$7,200.00 ",P I F
WARREN,MI,48089,JPMORGAN CHASE BANK NATL ASSOC,IL,541921,2,2,0,2,0,1,N,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
MATAWAN,NJ,7747,BANK OF AMERICA NATL ASSOC,NJ,0,2,2,0,0,0,0,N,N,"$40,000.00 ",$0.00 ,"$40,000.00 ","$36,000.00 ",P I F
Largo,FL,33773,SYNOVUS BANK,FL,323110,10,1,0,10,0,1,N,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$90,000.00 ",CHGOFF
WILLOUGHBY,OH,44094,CAPITAL ONE NATL ASSOC,VA,561730,6,1,2,6,1,1,0,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",CHGOFF
HARTFORD,CT,6114,WELLS FARGO BANK NATL ASSOC,SD,811121,6,1,0,0,1,0,0,0,"$350,000.00 ",$0.00 ,"$350,000.00 ","$245,000.00 ",P I F
OROVILLE,CA,95966,WELLS FARGO BANK NATL ASSOC,SD,0,2,1,0,0,1,0,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$45,000.00 ",P I F
TRENTON,NJ,8619,WELLS FARGO BANK NATL ASSOC,SD,0,5,1,0,0,1,0,N,N,"$150,000.00 ",$0.00 ,"$150,000.00 ","$124,500.00 ",P I F
NORTH RICHLAND HILLS,TX,76180,JPMORGAN CHASE BANK NATL ASSOC,NV,621320,1,1,0,0,1,0,N,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$80,000.00 ",P I F
EDEN PRAIRIE,MN,55344,ANCHOR BANK NATL ASSOC,MN,722211,1,1,20,0,1,1,0,N,"$225,000.00 ",$0.00 ,"$225,000.00 ","$168,750.00 ",P I F
